mean_x,std_x,mean_y,std_y,mean_z,std_z,Activity
-4.364,2.672,-7.577,3.002,-1.66,3.787,hand_wash
-4.014,2.135,-7.573,3.685,0.8134,4.713,hand_wash
-3.108,1.825,-7.836,3.062,1.066,4.433,hand_wash
-4.937,1.42,-6.642,3.136,-0.6908,4.122,hand_wash
-5.146,1.591,-7.02,1.992,-1.683,3.471,hand_wash
-4.551,2.026,-6.708,2.525,-3.934,3.813,hand_wash
-3.499,2.264,-5.279,3.04,-5.697,4.876,hand_wash
-5.69,1.38,-5.096,2.799,-2.203,5.09,hand_wash
-5.107,1.151,-5.759,2.248,-1.948,4.988,hand_wash
-4.737,1.729,-6.909,3.566,-0.2616,4.341,hand_wash
-3.601,1.899,-7.456,2.867,1.05,4.753,hand_wash
-3.243,2.504,-7.819,3.786,1.578,4.78,hand_wash
